student_id,age,education_level,study_field,learning_style,device_preference,timezone,previous_online_courses,has_learning_disability,motivation_level
student_00041,31,Professional,Social Sciences,Auditory,Desktop,UTC+1,3,False,Low
student_00042,44,Graduate,STEM,Visual,Desktop,UTC,4,False,Medium
student_00043,33,Graduate,Other,Visual,Mobile,UTC+1,2,False,Medium
student_00044,26,Professional,Social Sciences,Reading/Writing,Desktop,UTC-5,5,False,Medium
student_00045,25,High School,Social Sciences,Visual,Desktop,UTC-5,3,False,Low
student_00046,52,High School,Arts,Auditory,Desktop,UTC,1,False,Medium
student_00047,56,Undergraduate,Arts,Visual,Desktop,UTC,4,False,High
student_00048,48,Professional,STEM,Reading/Writing,Mobile,UTC+1,4,False,Medium
student_00049,25,Undergraduate,Arts,Visual,Tablet,UTC-5,8,False,High
student_00050,51,High School,Social Sciences,Auditory,Desktop,UTC,11,False,Medium
student_00051,44,Undergraduate,Business,Visual,Desktop,UTC,6,False,Medium
student_00052,41,High School,Business,Reading/Writing,Desktop,UTC-8,4,False,Medium
student_00053,45,High School,Other,Reading/Writing,Mobile,UTC+1,8,False,Low
student_00054,64,Undergraduate,Arts,Kinesthetic,Mobile,UTC,1,False,Medium
student_00055,44,High School,Business,Kinesthetic,Desktop,UTC,6,False,Medium
student_00056,44,Undergraduate,Other,Kinesthetic,Desktop,UTC+8,6,False,Medium
student_00057,28,Undergraduate,Other,Auditory,Mobile,UTC-5,6,False,High
student_00058,19,Undergraduate,Other,Kinesthetic,Desktop,UTC,6,True,Medium
student_00059,21,High School,Other,Kinesthetic,Desktop,UTC-8,1,False,Low
student_00060,25,Undergraduate,Arts,Visual,Desktop,UTC-5,6,False,Medium
student_00061,57,Undergraduate,STEM,Kinesthetic,Mobile,UTC-8,3,False,Low
student_00062,19,Undergraduate,Arts,Visual,Mobile,UTC,7,False,High
student_00063,30,High School,Other,Kinesthetic,Mobile,UTC-8,9,True,Medium
student_00064,23,Graduate,Social Sciences,Kinesthetic,Desktop,UTC+8,4,True,Medium
student_00065,16,Graduate,STEM,Kinesthetic,Desktop,UTC+8,6,True,Medium
student_00066,17,Undergraduate,Arts,Visual,Mobile,UTC,4,True,High
student_00067,33,High School,Other,Kinesthetic,Mobile,UTC+8,5,False,High
student_00068,44,Graduate,STEM,Reading/Writing,Desktop,UTC+8,5,False,Low
student_00069,23,Graduate,Business,Kinesthetic,Mobile,UTC-8,5,False,Medium
student_00070,32,High School,Arts,Visual,Mobile,UTC,4,False,Medium
student_00071,23,Undergraduate,Arts,Visual,Mobile,UTC+8,5,False,Medium
student_00072,61,Undergraduate,STEM,Auditory,Mobile,UTC-5,5,False,High
student_00073,55,Undergraduate,Arts,Visual,Desktop,UTC,7,False,Medium
student_00074,57,High School,Arts,Visual,Desktop,UTC+8,2,False,High
student_00075,16,Professional,Other,Reading/Writing,Mobile,UTC-5,6,False,High
student_00076,41,High School,Arts,Reading/Writing,Mobile,UTC+1,2,True,Low
student_00077,44,Graduate,Other,Kinesthetic,Mobile,UTC+8,11,True,Medium
student_00078,29,Undergraduate,Other,Visual,Tablet,UTC,5,False,Medium
student_00079,22,Undergraduate,STEM,Visual,Desktop,UTC-5,6,False,Low
student_00080,49,Undergraduate,STEM,Visual,Mobile,UTC+8,6,True,High
student_00081,40,Graduate,Other,Visual,Tablet,UTC-5,4,False,High
student_00082,35,High School,STEM,Visual,Desktop,UTC-5,8,False,Low
student_00083,43,High School,Other,Kinesthetic,Tablet,UTC+8,3,False,High
student_00084,48,Graduate,Business,Reading/Writing,Mobile,UTC,6,True,Medium
student_00085,60,High School,Social Sciences,Reading/Writing,Mobile,UTC+1,5,False,Low
student_00086,64,High School,Other,Kinesthetic,Mobile,UTC-8,3,False,Medium
student_00087,40,Undergraduate,Business,Auditory,Mobile,UTC+8,6,False,High
student_00088,39,Undergraduate,Arts,Reading/Writing,Desktop,UTC-8,3,False,High
student_00089,41,High School,Social Sciences,Auditory,Mobile,UTC+1,2,False,High
student_00090,24,Professional,STEM,Auditory,Mobile,UTC-8,5,False,High
student_00091,24,Undergraduate,Arts,Visual,Mobile,UTC-8,6,False,High
student_00092,61,Professional,STEM,Visual,Tablet,UTC-8,1,False,Medium
student_00093,64,Graduate,Social Sciences,Auditory,Mobile,UTC+1,4,False,Medium
student_00094,59,High School,Other,Auditory,Desktop,UTC-5,4,False,Low
student_00095,24,Undergraduate,Arts,Kinesthetic,Mobile,UTC+1,13,False,Medium
student_00096,47,Undergraduate,STEM,Auditory,Tablet,UTC+1,5,False,High
student_00097,18,High School,Arts,Kinesthetic,Mobile,UTC-5,2,False,Medium
student_00098,38,High School,Social Sciences,Visual,Mobile,UTC-5,5,False,Medium
student_00099,26,Graduate,Business,Visual,Mobile,UTC-8,5,False,High
student_00100,53,High School,Arts,Kinesthetic,Mobile,UTC,5,False,High
student_00101,60,High School,Business,Reading/Writing,Tablet,UTC-5,8,False,Low
student_00102,44,Graduate,Business,Auditory,Mobile,UTC,4,False,Medium
student_00103,59,High School,Business,Visual,Tablet,UTC-8,4,False,Medium
student_00104,33,High School,Other,Reading/Writing,Tablet,UTC,5,True,Medium
student_00105,31,Graduate,Other,Auditory,Mobile,UTC+1,4,False,High
student_00106,61,Professional,Social Sciences,Reading/Writing,Desktop,UTC+1,3,False,Medium
student_00107,55,High School,STEM,Reading/Writing,Mobile,UTC-8,3,False,Medium
student_00108,28,Undergraduate,STEM,Kinesthetic,Desktop,UTC,4,True,Medium
student_00109,38,Graduate,Other,Auditory,Tablet,UTC,5,True,Low
student_00110,37,Graduate,Social Sciences,Auditory,Mobile,UTC-8,3,False,Low
student_00111,18,High School,Business,Visual,Desktop,UTC-5,0,False,Medium
student_00112,58,High School,Business,Reading/Writing,Mobile,UTC-5,3,False,Low
student_00113,47,Undergraduate,Arts,Visual,Desktop,UTC-5,6,False,Medium
student_00114,17,Undergraduate,STEM,Reading/Writing,Desktop,UTC-8,9,True,Low
student_00115,61,Professional,Business,Reading/Writing,Mobile,UTC-5,5,False,Medium
student_00116,40,Undergraduate,STEM,Kinesthetic,Desktop,UTC,4,False,High
student_00117,20,Graduate,STEM,Visual,Desktop,UTC-5,2,False,Medium
student_00118,31,Undergraduate,Other,Auditory,Tablet,UTC-8,1,False,Low
student_00119,56,High School,Social Sciences,Auditory,Desktop,UTC,4,False,Medium
student_00120,52,Graduate,Business,Visual,Tablet,UTC,6,False,High
student_00121,61,High School,Business,Reading/Writing,Mobile,UTC-8,5,False,Medium
student_00122,19,Undergraduate,STEM,Auditory,Desktop,UTC+8,5,False,Low
student_00123,41,High School,Other,Kinesthetic,Mobile,UTC-5,6,False,Medium
student_00124,63,Professional,Business,Visual,Mobile,UTC-5,3,False,High
student_00125,38,High School,Other,Kinesthetic,Mobile,UTC-8,5,False,Low
student_00126,46,Undergraduate,STEM,Kinesthetic,Desktop,UTC+8,5,False,High
student_00127,21,High School,Social Sciences,Reading/Writing,Desktop,UTC-8,5,False,High
student_00128,20,High School,Social Sciences,Auditory,Desktop,UTC-5,6,False,Low
student_00129,49,Graduate,STEM,Reading/Writing,Desktop,UTC-8,6,True,Medium
student_00130,53,Undergraduate,STEM,Visual,Desktop,UTC-5,5,False,Low
student_00131,56,Undergraduate,Arts,Visual,Mobile,UTC-5,6,False,Medium
student_00132,63,Undergraduate,STEM,Auditory,Mobile,UTC-5,4,False,Medium
student_00133,28,Graduate,Social Sciences,Visual,Mobile,UTC-8,6,True,Medium
student_00134,51,Graduate,Business,Auditory,Mobile,UTC-5,4,False,High
student_00135,22,Professional,Business,Auditory,Mobile,UTC+1,12,False,Medium
student_00136,21,Undergraduate,STEM,Visual,Desktop,UTC-8,3,False,High
student_00137,23,Undergraduate,Social Sciences,Visual,Mobile,UTC,2,False,Medium
student_00138,18,Undergraduate,Social Sciences,Auditory,Mobile,UTC-8,4,False,Low
student_00139,16,High School,Other,Kinesthetic,Desktop,UTC-8,6,False,Medium
student_00140,39,High School,Social Sciences,Visual,Mobile,UTC-5,4,True,Medium
student_00141,30,High School,Other,Reading/Writing,Mobile,UTC-5,5,False,Medium
student_00142,26,Undergraduate,Social Sciences,Reading/Writing,Mobile,UTC+8,4,False,Medium
student_00143,59,Graduate,Other,Visual,Mobile,UTC-5,1,False,High
student_00144,19,Graduate,Arts,Auditory,Desktop,UTC+1,6,False,Medium
student_00145,18,Undergraduate,Business,Auditory,Desktop,UTC+8,2,False,High
student_00146,27,Professional,STEM,Visual,Mobile,UTC-8,4,False,Low
student_00147,40,High School,Social Sciences,Visual,Mobile,UTC-5,7,False,High
student_00148,26,High School,Social Sciences,Reading/Writing,Mobile,UTC-8,2,False,High
student_00149,44,High School,Other,Auditory,Desktop,UTC+1,3,False,Low
student_00150,19,Professional,Social Sciences,Reading/Writing,Desktop,UTC-5,4,False,Medium
student_00151,18,High School,Arts,Auditory,Mobile,UTC-5,2,False,Low
student_00152,18,High School,Other,Auditory,Mobile,UTC,3,False,High
student_00153,49,Undergraduate,Business,Reading/Writing,Tablet,UTC+8,5,False,High
student_00154,17,High School,Arts,Kinesthetic,Mobile,UTC-8,6,False,High
student_00155,32,Undergraduate,Social Sciences,Kinesthetic,Desktop,UTC-5,2,False,Medium
student_00156,19,Undergraduate,STEM,Kinesthetic,Desktop,UTC-8,5,False,Medium
student_00157,60,Undergraduate,Social Sciences,Reading/Writing,Mobile,UTC-5,4,False,High
student_00158,28,High School,Other,Kinesthetic,Mobile,UTC+1,7,False,Medium
student_00159,42,Undergraduate,Arts,Auditory,Tablet,UTC,4,False,Medium
student_00160,55,High School,STEM,Visual,Desktop,UTC,5,False,Medium
student_00161,18,Undergraduate,Other,Reading/Writing,Tablet,UTC+8,2,False,Medium
student_00162,30,Graduate,Arts,Visual,Desktop,UTC,7,False,Low
student_00163,58,Undergraduate,Arts,Auditory,Desktop,UTC-5,3,False,High
student_00164,58,Graduate,Business,Reading/Writing,Mobile,UTC-5,5,False,High
student_00165,22,Undergraduate,Other,Visual,Mobile,UTC-8,3,False,Medium
student_00166,54,Professional,Social Sciences,Reading/Writing,Mobile,UTC-8,5,False,Medium
student_00167,43,High School,STEM,Reading/Writing,Tablet,UTC,6,False,Medium
student_00168,62,High School,Other,Reading/Writing,Mobile,UTC-8,4,False,Low
student_00169,52,Graduate,STEM,Reading/Writing,Mobile,UTC-8,3,True,Low
student_00170,42,High School,Arts,Reading/Writing,Desktop,UTC-5,5,False,Medium
student_00171,50,High School,Other,Visual,Desktop,UTC-5,3,False,Low
student_00172,62,Undergraduate,STEM,Visual,Desktop,UTC+1,5,False,High
student_00173,45,High School,STEM,Kinesthetic,Mobile,UTC-5,3,False,Medium
student_00174,43,Graduate,Other,Auditory,Tablet,UTC-8,3,True,High
student_00175,54,Undergraduate,STEM,Visual,Mobile,UTC,2,False,High
student_00176,54,High School,Business,Kinesthetic,Tablet,UTC-5,5,False,Medium
student_00177,63,High School,Arts,Reading/Writing,Mobile,UTC-5,7,False,High
student_00178,42,High School,Business,Kinesthetic,Desktop,UTC+8,8,False,High
student_00179,20,High School,Social Sciences,Reading/Writing,Desktop,UTC,4,True,Medium
student_00180,46,Undergraduate,STEM,Visual,Desktop,UTC-8,4,False,High
student_00181,55,Undergraduate,Social Sciences,Auditory,Mobile,UTC+8,9,False,Medium
student_00182,37,High School,Social Sciences,Visual,Tablet,UTC-5,3,False,Low
student_00183,47,High School,Other,Auditory,Desktop,UTC-8,6,False,Medium
student_00184,26,Undergraduate,STEM,Auditory,Mobile,UTC-5,5,False,High
student_00185,55,Undergraduate,Other,Visual,Desktop,UTC-8,5,False,Medium
student_00186,61,Undergraduate,Social Sciences,Kinesthetic,Desktop,UTC+1,3,False,High
student_00187,21,Undergraduate,Business,Auditory,Mobile,UTC,2,True,Medium
student_00188,40,Undergraduate,Other,Visual,Desktop,UTC,6,False,Medium
student_00189,34,Undergraduate,Social Sciences,Auditory,Mobile,UTC+8,9,False,Low
student_00190,26,Undergraduate,STEM,Reading/Writing,Desktop,UTC,6,False,Medium
student_00191,53,Professional,Social Sciences,Visual,Mobile,UTC-5,3,False,Low
student_00192,26,Graduate,Business,Auditory,Desktop,UTC,7,False,Medium
student_00193,52,High School,Social Sciences,Auditory,Mobile,UTC-5,4,False,Medium
student_00194,20,Graduate,Other,Kinesthetic,Mobile,UTC+1,4,False,Medium
student_00195,56,High School,STEM,Kinesthetic,Desktop,UTC-5,3,False,Medium
student_00196,31,Graduate,STEM,Reading/Writing,Desktop,UTC-8,1,False,Medium
student_00197,55,Undergraduate,STEM,Visual,Mobile,UTC-5,4,False,Medium
student_00198,38,Undergraduate,Social Sciences,Visual,Mobile,UTC-8,3,False,High
student_00199,37,Undergraduate,Social Sciences,Kinesthetic,Mobile,UTC-8,4,False,High
student_00200,45,Undergraduate,Social Sciences,Reading/Writing,Desktop,UTC-8,5,False,Medium
student_00201,47,Graduate,Business,Auditory,Mobile,UTC-8,5,False,Medium
student_00202,24,Graduate,STEM,Kinesthetic,Desktop,UTC-8,7,False,High
student_00203,53,High School,Social Sciences,Visual,Desktop,UTC-5,6,False,Medium
student_00204,31,Undergraduate,STEM,Kinesthetic,Desktop,UTC,1,False,Medium
student_00205,60,High School,STEM,Kinesthetic,Mobile,UTC+8,8,False,Medium
student_00206,19,Undergraduate,Social Sciences,Auditory,Desktop,UTC+1,4,True,Medium
student_00207,57,Undergraduate,Social Sciences,Visual,Tablet,UTC-8,7,False,Medium
student_00208,57,Undergraduate,Other,Reading/Writing,Mobile,UTC-5,7,False,Medium
student_00209,38,Undergraduate,Social Sciences,Auditory,Mobile,UTC+1,6,False,Medium
student_00210,19,Graduate,Business,Kinesthetic,Tablet,UTC-8,5,False,Low
student_00211,59,High School,Arts,Auditory,Mobile,UTC-8,8,False,High
student_00212,29,Professional,Other,Kinesthetic,Mobile,UTC-8,6,False,Medium
student_00213,19,High School,Social Sciences,Kinesthetic,Mobile,UTC-5,4,True,Low
student_00214,47,Graduate,Arts,Reading/Writing,Desktop,UTC-5,5,False,High
student_00215,57,Graduate,Other,Kinesthetic,Mobile,UTC-8,9,False,Low
student_00216,51,High School,Business,Reading/Writing,Mobile,UTC-5,3,False,High
student_00217,19,High School,Other,Kinesthetic,Desktop,UTC,5,False,High
student_00218,17,Undergraduate,Other,Reading/Writing,Tablet,UTC-8,4,False,High
student_00219,63,High School,Business,Kinesthetic,Desktop,UTC-8,2,False,High
student_00220,54,Professional,STEM,Visual,Mobile,UTC+1,1,False,High
student_00221,55,Undergraduate,Business,Reading/Writing,Mobile,UTC-5,3,False,Medium
student_00222,46,Graduate,Business,Reading/Writing,Mobile,UTC+8,8,False,High
student_00223,63,Graduate,Other,Auditory,Desktop,UTC,6,False,High
student_00224,34,High School,Business,Kinesthetic,Desktop,UTC,9,False,Medium
student_00225,33,Undergraduate,STEM,Kinesthetic,Mobile,UTC-5,7,False,Medium
student_00226,35,High School,Social Sciences,Kinesthetic,Desktop,UTC-5,5,False,High
student_00227,54,High School,Social Sciences,Kinesthetic,Tablet,UTC-5,7,False,Medium
student_00228,54,Undergraduate,Other,Kinesthetic,Tablet,UTC-5,6,False,Medium
student_00229,60,Professional,Other,Kinesthetic,Desktop,UTC-5,5,False,Low
student_00230,23,Undergraduate,STEM,Kinesthetic,Desktop,UTC-8,7,False,High
student_00231,25,Professional,STEM,Reading/Writing,Mobile,UTC-8,4,False,Medium
student_00232,16,High School,Other,Kinesthetic,Mobile,UTC,4,False,Medium
student_00233,31,Graduate,STEM,Kinesthetic,Tablet,UTC-8,8,False,High
student_00234,31,Undergraduate,Arts,Visual,Mobile,UTC-5,7,False,High
student_00235,23,Graduate,Other,Auditory,Desktop,UTC-8,1,False,Medium
student_00236,33,Undergraduate,Arts,Auditory,Desktop,UTC-8,2,False,Medium
student_00237,56,Professional,Business,Visual,Mobile,UTC-5,2,False,High
student_00238,58,Undergraduate,Arts,Reading/Writing,Mobile,UTC-5,8,False,Low
student_00239,33,Graduate,Social Sciences,Reading/Writing,Mobile,UTC-8,6,False,High
student_00240,58,Undergraduate,Business,Kinesthetic,Tablet,UTC,3,False,High
student_00241,25,High School,Social Sciences,Kinesthetic,Mobile,UTC-5,8,False,Medium
student_00242,35,Professional,STEM,Reading/Writing,Tablet,UTC-5,5,True,High
student_00243,21,Graduate,Business,Kinesthetic,Mobile,UTC-8,6,False,High
student_00244,51,Professional,Social Sciences,Reading/Writing,Desktop,UTC-8,6,False,High
student_00245,46,High School,Other,Visual,Mobile,UTC-5,4,False,Medium
student_00246,60,Undergraduate,Social Sciences,Reading/Writing,Mobile,UTC-8,7,False,Medium
student_00247,57,Graduate,Business,Auditory,Desktop,UTC,4,False,Medium
student_00248,21,Undergraduate,Business,Kinesthetic,Mobile,UTC,2,False,Medium
student_00249,58,Professional,Other,Reading/Writing,Mobile,UTC,6,False,Medium
student_00250,34,Graduate,Social Sciences,Visual,Desktop,UTC-8,5,False,Low
student_00251,45,High School,STEM,Visual,Mobile,UTC,8,False,Medium
student_00252,48,Undergraduate,Other,Kinesthetic,Desktop,UTC-5,9,False,High
student_00253,24,Graduate,Arts,Visual,Mobile,UTC-8,5,False,Low
student_00254,63,Professional,Arts,Visual,Mobile,UTC-5,4,False,Medium
student_00255,28,Undergraduate,STEM,Reading/Writing,Mobile,UTC+8,7,False,High
student_00256,23,High School,Other,Auditory,Desktop,UTC+1,6,False,Medium
student_00257,45,High School,Arts,Auditory,Mobile,UTC-5,8,False,Medium
student_00258,46,High School,STEM,Auditory,Mobile,UTC+8,7,False,High
student_00259,17,Professional,Arts,Kinesthetic,Tablet,UTC,1,False,High
student_00260,28,Graduate,Social Sciences,Kinesthetic,Desktop,UTC-8,6,False,High
student_00261,34,High School,Business,Visual,Desktop,UTC-8,1,False,High
student_00262,24,High School,Arts,Auditory,Desktop,UTC-5,5,False,Medium
student_00263,59,High School,Social Sciences,Kinesthetic,Tablet,UTC,4,False,Low
student_00264,27,High School,Other,Auditory,Desktop,UTC-5,5,False,Medium
student_00265,20,Undergraduate,Other,Kinesthetic,Mobile,UTC-5,3,False,Medium
student_00266,51,Graduate,Business,Visual,Tablet,UTC,5,False,Medium
student_00267,49,Graduate,Other,Reading/Writing,Desktop,UTC-8,10,False,Medium
student_00268,26,Undergraduate,Business,Reading/Writing,Tablet,UTC-8,5,True,Medium
student_00269,59,Undergraduate,Arts,Reading/Writing,Tablet,UTC+8,2,False,Medium
student_00270,54,Graduate,Arts,Kinesthetic,Desktop,UTC-8,6,False,High
student_00271,30,High School,Other,Visual,Desktop,UTC-5,4,False,Medium
student_00272,40,High School,Arts,Auditory,Desktop,UTC+1,2,False,High
student_00273,58,Undergraduate,STEM,Auditory,Mobile,UTC-8,7,False,Medium
student_00274,55,Graduate,Social Sciences,Reading/Writing,Mobile,UTC-8,4,True,Medium
student_00275,19,Graduate,STEM,Kinesthetic,Desktop,UTC-8,1,False,Low
student_00276,25,Professional,Arts,Kinesthetic,Desktop,UTC-8,1,False,High
student_00277,37,Undergraduate,Business,Visual,Desktop,UTC,5,True,High
student_00278,39,Graduate,Other,Kinesthetic,Desktop,UTC-5,4,False,Medium
student_00279,62,High School,Arts,Visual,Tablet,UTC-8,6,False,Low
student_00280,33,Undergraduate,Social Sciences,Auditory,Mobile,UTC+8,4,False,Low
student_00281,50,High School,Arts,Reading/Writing,Desktop,UTC+1,6,False,Medium
student_00282,20,High School,Social Sciences,Visual,Tablet,UTC,4,False,High
student_00283,58,High School,STEM,Visual,Mobile,UTC-8,5,False,Low
student_00284,61,Undergraduate,Business,Kinesthetic,Desktop,UTC,6,False,High
student_00285,21,Undergraduate,Business,Reading/Writing,Mobile,UTC-8,7,False,Medium
student_00286,25,Undergraduate,Social Sciences,Visual,Mobile,UTC,6,False,Low
student_00287,50,High School,Other,Visual,Mobile,UTC-5,5,False,Medium
student_00288,28,Undergraduate,Business,Visual,Desktop,UTC,3,False,Low
student_00289,21,High School,Business,Reading/Writing,Desktop,UTC-5,6,False,Low
student_00290,61,High School,STEM,Kinesthetic,Mobile,UTC-5,3,True,Medium
student_00291,19,High School,Other,Kinesthetic,Desktop,UTC,8,False,Medium
student_00292,24,Professional,STEM,Visual,Mobile,UTC+8,4,False,Medium
student_00293,30,Graduate,Social Sciences,Kinesthetic,Mobile,UTC+8,7,False,High
student_00294,57,High School,Arts,Kinesthetic,Desktop,UTC-8,3,True,Medium
student_00295,32,Graduate,Other,Reading/Writing,Tablet,UTC,8,False,Medium
student_00296,41,High School,Social Sciences,Auditory,Desktop,UTC-5,4,False,High
student_00297,64,High School,Arts,Kinesthetic,Mobile,UTC-8,5,False,Low
student_00298,23,High School,STEM,Reading/Writing,Mobile,UTC+8,7,False,High
student_00299,46,High School,Other,Visual,Mobile,UTC,8,True,Low
student_00300,54,High School,Arts,Reading/Writing,Desktop,UTC-5,5,False,High
student_00301,18,Graduate,Other,Kinesthetic,Desktop,UTC+1,5,True,Low
student_00302,46,Graduate,Arts,Reading/Writing,Mobile,UTC-8,7,True,Low
student_00303,54,High School,STEM,Visual,Mobile,UTC+8,6,False,Medium
student_00304,41,High School,Other,Kinesthetic,Mobile,UTC-8,5,False,Medium
student_00305,31,Undergraduate,Other,Kinesthetic,Mobile,UTC-5,2,False,High
student_00306,39,High School,Social Sciences,Auditory,Tablet,UTC+1,6,False,High
student_00307,28,Graduate,Social Sciences,Kinesthetic,Tablet,UTC+1,4,True,High
student_00308,37,Graduate,Social Sciences,Visual,Desktop,UTC+1,7,True,Medium
student_00309,31,Undergraduate,STEM,Auditory,Mobile,UTC,4,False,Medium
student_00310,58,Professional,Arts,Visual,Tablet,UTC+8,3,False,Low
student_00311,48,High School,Social Sciences,Reading/Writing,Tablet,UTC-8,7,False,Low
student_00312,43,High School,Business,Auditory,Desktop,UTC-8,6,False,Medium
student_00313,27,Undergraduate,STEM,Auditory,Mobile,UTC+8,8,True,Medium
student_00314,47,Undergraduate,Social Sciences,Visual,Mobile,UTC-5,2,False,High
student_00315,23,High School,Business,Visual,Mobile,UTC-5,6,True,Medium
student_00316,46,Undergraduate,Social Sciences,Reading/Writing,Desktop,UTC+8,5,False,Medium
student_00317,40,Undergraduate,STEM,Auditory,Desktop,UTC,3,False,Low
student_00318,60,High School,Business,Auditory,Mobile,UTC-8,10,True,High
student_00319,24,Graduate,STEM,Auditory,Mobile,UTC+8,7,False,Medium
student_00320,18,High School,STEM,Auditory,Mobile,UTC-8,5,False,Medium
student_00321,29,Undergraduate,Other,Kinesthetic,Mobile,UTC-8,7,False,High
student_00322,42,Undergraduate,Arts,Reading/Writing,Mobile,UTC-5,7,False,High
student_00323,24,Professional,STEM,Auditory,Desktop,UTC-8,6,False,High
student_00324,25,High School,Other,Kinesthetic,Desktop,UTC+1,4,False,High
student_00325,29,Undergraduate,Social Sciences,Visual,Mobile,UTC,3,False,High
student_00326,38,High School,Other,Kinesthetic,Mobile,UTC-5,7,True,High
student_00327,46,Graduate,Business,Auditory,Tablet,UTC-5,6,False,Medium
student_00328,45,Graduate,Other,Auditory,Mobile,UTC-8,5,False,Medium
student_00329,42,High School,Other,Reading/Writing,Tablet,UTC,8,False,Medium
student_00330,37,Professional,Other,Visual,Desktop,UTC-5,6,False,Medium
student_00331,59,Graduate,Other,Kinesthetic,Mobile,UTC+1,8,False,Medium
student_00332,55,Graduate,STEM,Kinesthetic,Desktop,UTC+1,2,True,Medium
student_00333,36,Graduate,Arts,Reading/Writing,Desktop,UTC+1,2,True,Medium
student_00334,50,High School,Arts,Reading/Writing,Mobile,UTC-5,6,False,Medium
student_00335,25,High School,STEM,Kinesthetic,Mobile,UTC-5,1,False,Medium
student_00336,48,Professional,Social Sciences,Kinesthetic,Desktop,UTC,4,False,Low
student_00337,39,Graduate,STEM,Auditory,Mobile,UTC-8,4,False,Medium
student_00338,56,High School,Social Sciences,Reading/Writing,Desktop,UTC,6,False,Medium
student_00339,52,Professional,Arts,Auditory,Desktop,UTC-8,2,False,Medium
student_00340,30,Undergraduate,Business,Auditory,Tablet,UTC,7,False,Low
student_00341,21,Undergraduate,Social Sciences,Reading/Writing,Tablet,UTC+8,4,False,Low
student_00342,39,Graduate,Other,Visual,Desktop,UTC,11,False,High
student_00343,23,High School,Arts,Auditory,Desktop,UTC+1,8,False,High
student_00344,18,Undergraduate,STEM,Visual,Desktop,UTC-5,5,True,Medium
student_00345,48,Professional,Other,Auditory,Mobile,UTC+8,2,False,Low
