course_id,course_title,subject_area,difficulty_level,duration_weeks,instructor_rating,course_format,has_assignments,has_quizzes,has_discussion_forum,certificate_offered
course_056,English 218,English,Advanced,14,4.2,Video,True,True,False,False
course_057,History 503,Psychology,Intermediate,4,3.5,Interactive,True,True,True,True
course_058,Biology 299,Language Learning,Beginner,8,3.9,Interactive,True,True,False,False
course_059,English 256,Chemistry,Beginner,6,3.7,Video,True,True,False,True
course_060,Physics 252,Language Learning,Intermediate,5,4.1,Mixed,False,True,True,False
course_061,Biology 521,Chemistry,Beginner,15,4.6,Interactive,True,True,True,False
course_062,Mathematics 271,Language Learning,Intermediate,5,4.5,Interactive,True,True,False,True
course_063,Chemistry 413,Biology,Beginner,4,3.8,Mixed,True,True,True,True
course_064,Mathematics 263,Music,Advanced,4,4.7,Video,True,True,False,False
course_065,Music 376,Music,Beginner,14,3.7,Video,False,True,True,True
course_066,History 542,Physics,Intermediate,7,4.0,Video,True,True,True,True
course_067,Music 579,English,Beginner,4,4.7,Mixed,True,True,True,True
course_068,Mathematics 110,Physics,Intermediate,12,4.6,Interactive,True,True,True,True
course_069,Economics 208,Psychology,Advanced,7,3.5,Interactive,True,True,True,True
course_070,Language Learning 570,Computer Science,Beginner,7,4.1,Mixed,True,True,True,True
course_071,Mathematics 489,Computer Science,Intermediate,10,4.4,Video,True,True,True,True
course_072,Music 489,Computer Science,Intermediate,14,4.0,Video,True,True,True,True
course_073,Psychology 383,Economics,Intermediate,14,4.2,Video,True,True,True,True
course_074,Computer Science 253,History,Beginner,7,4.5,Video,True,True,True,False
course_075,Computer Science 232,Biology,Intermediate,14,4.0,Video,True,True,True,True
course_076,Physics 438,Music,Intermediate,12,3.8,Video,False,True,True,False
course_077,Language Learning 118,Economics,Beginner,9,4.5,Video,True,True,False,True
course_078,Economics 384,Computer Science,Advanced,4,4.4,Video,True,True,False,True
course_079,Physics 202,English,Beginner,7,4.7,Interactive,False,True,False,True
course_080,Physics 213,Chemistry,Beginner,8,4.8,Interactive,True,True,True,False
course_081,Psychology 176,Biology,Beginner,13,3.9,Video,True,True,False,False
course_082,Computer Science 450,English,Beginner,4,4.2,Video,True,True,True,True
course_083,Chemistry 598,Language Learning,Intermediate,10,4.0,Text-based,True,True,False,False
course_084,Language Learning 564,History,Intermediate,4,4.1,Video,True,True,True,True
course_085,Psychology 217,English,Advanced,7,4.4,Mixed,True,True,True,True
course_086,Biology 135,Chemistry,Beginner,4,4.0,Mixed,True,True,True,True
course_087,Biology 478,History,Beginner,13,3.8,Video,True,True,False,True
course_088,Biology 478,Physics,Beginner,7,4.8,Interactive,True,True,True,True
course_089,English 148,English,Beginner,14,3.9,Mixed,True,True,True,True
course_090,History 318,Music,Beginner,8,4.3,Video,True,True,True,False
course_091,Mathematics 376,Mathematics,Beginner,12,4.6,Video,False,True,True,True
course_092,Physics 547,Psychology,Advanced,6,5.0,Video,True,True,True,False
course_093,Music 110,Physics,Beginner,8,3.7,Mixed,True,True,False,False
course_094,Psychology 116,Mathematics,Beginner,10,4.6,Text-based,False,True,True,True
course_095,Language Learning 596,Economics,Beginner,12,4.5,Interactive,True,True,True,False
course_096,Mathematics 132,Mathematics,Beginner,8,4.3,Video,False,True,False,False
course_097,Physics 314,Language Learning,Intermediate,8,3.6,Video,True,True,False,True
course_098,Mathematics 317,Physics,Advanced,15,3.7,Video,True,True,True,False
course_099,Psychology 366,Mathematics,Beginner,8,4.1,Interactive,True,True,False,False
course_100,Computer Science 308,Chemistry,Intermediate,13,3.8,Mixed,False,True,False,True
course_101,Biology 224,Chemistry,Intermediate,8,3.6,Text-based,True,True,False,True
course_102,History 290,Biology,Intermediate,11,4.1,Mixed,False,True,False,True
course_103,Psychology 508,Music,Advanced,15,4.7,Video,False,True,False,True
course_104,Computer Science 559,History,Beginner,5,4.0,Video,True,True,False,True
course_105,Language Learning 227,Computer Science,Intermediate,8,4.2,Video,False,True,False,False
course_106,Chemistry 114,Psychology,Beginner,14,4.3,Text-based,True,True,False,False
course_107,Physics 282,Chemistry,Beginner,14,3.6,Video,True,True,False,False
course_108,Biology 126,Language Learning,Intermediate,15,4.8,Video,True,True,True,False
course_109,Physics 165,Economics,Beginner,6,4.3,Video,True,True,False,True
course_110,Psychology 571,Music,Advanced,13,4.4,Mixed,True,True,False,True
course_111,Economics 440,Psychology,Intermediate,13,4.3,Mixed,False,False,False,True
course_112,Biology 496,Art,Intermediate,5,3.8,Mixed,False,True,False,True
course_113,Mathematics 505,Chemistry,Beginner,9,4.0,Text-based,True,True,False,True
course_114,English 208,Mathematics,Intermediate,11,4.8,Mixed,False,True,True,False
course_115,Mathematics 268,Biology,Intermediate,15,4.1,Video,True,True,False,True
course_116,Economics 352,Music,Beginner,11,4.7,Video,True,True,True,False
course_117,Economics 532,English,Intermediate,13,3.9,Video,False,True,False,False
course_118,Art 208,Mathematics,Beginner,6,4.0,Video,True,True,False,True
course_119,Computer Science 372,Physics,Beginner,6,4.1,Text-based,True,True,False,True
course_120,Art 472,Music,Advanced,12,4.4,Interactive,True,True,False,True
course_121,Economics 584,Biology,Intermediate,11,4.9,Mixed,True,True,True,False
course_122,Biology 292,Economics,Beginner,11,4.2,Interactive,True,True,False,True
course_123,History 489,Language Learning,Intermediate,10,4.8,Mixed,True,True,True,True
course_124,Computer Science 474,English,Intermediate,14,4.7,Video,True,True,False,True
course_125,Mathematics 526,Psychology,Intermediate,10,4.1,Interactive,True,True,False,True
course_126,Language Learning 595,Biology,Intermediate,5,4.4,Video,True,True,False,False
course_127,Psychology 215,Computer Science,Intermediate,6,4.5,Video,False,False,True,True
course_128,History 552,Music,Beginner,11,4.5,Interactive,False,True,True,False
course_129,Physics 560,Computer Science,Beginner,15,4.0,Video,True,True,True,True
course_130,Physics 215,Physics,Beginner,9,4.8,Video,True,True,True,False
course_131,Biology 125,Physics,Advanced,9,4.1,Text-based,True,True,False,True
course_132,Music 252,History,Beginner,7,3.7,Interactive,True,True,True,True
course_133,Chemistry 381,Chemistry,Beginner,7,3.9,Video,True,True,False,False
course_134,Language Learning 231,History,Beginner,7,3.9,Text-based,True,True,False,False
course_135,Mathematics 431,Computer Science,Beginner,14,4.7,Interactive,True,True,False,True
course_136,Chemistry 226,Physics,Advanced,13,4.3,Video,True,True,True,False
course_137,Biology 317,English,Advanced,5,4.8,Video,True,True,True,True
course_138,Language Learning 130,Chemistry,Beginner,7,4.4,Mixed,True,False,True,True
course_139,History 216,Computer Science,Beginner,5,4.8,Video,False,True,True,True
course_140,Art 579,Psychology,Beginner,11,3.6,Interactive,True,True,True,True
course_141,Music 499,Music,Advanced,13,3.8,Video,False,True,True,True
course_142,Biology 307,Language Learning,Advanced,8,4.7,Interactive,False,True,False,True
course_143,Physics 330,Chemistry,Intermediate,7,4.0,Text-based,False,True,True,True
course_144,Physics 574,English,Intermediate,11,4.7,Video,True,True,False,True
course_145,Chemistry 465,Physics,Intermediate,4,4.7,Interactive,True,True,True,True
course_146,Biology 155,English,Advanced,6,3.7,Video,True,True,True,True
course_147,Physics 247,Chemistry,Advanced,4,4.1,Mixed,True,True,True,False
course_148,Physics 412,English,Intermediate,7,3.9,Video,False,True,True,True
course_149,Language Learning 299,English,Intermediate,14,3.7,Interactive,True,True,True,False
